fecha,dia_numero,infectados
03/03/20,1,1
04/03/20,2,0
05/03/20,3,1
06/03/20,4,2
07/03/20,5,0
08/03/20,6,3
09/03/20,7,5
10/03/20,8,2
11/03/20,9,2
12/03/20,10,10
13/03/20,11,3
14/03/20,12,11
15/03/20,13,11
16/03/20,14,9
17/03/20,15,14
18/03/20,16,19
19/03/20,17,31
20/03/20,18,30
21/03/20,19,67
22/03/20,20,41
23/03/20,21,36
24/03/20,22,86
25/03/20,23,117
26/03/20,24,87
27/03/20,25,101
28/03/20,26,55
29/03/20,27,75
30/03/20,28,146
31/03/20,29,88
01/04/20,30,79
02/04/20,31,132
03/04/20,32,88
04/04/20,33,98
05/04/20,34,103
06/04/20,35,74
07/04/20,36,87
08/04/20,37,80
09/04/20,38,99
10/04/20,39,81
11/04/20,40,167
12/04/20,41,66
13/04/20,42,69
14/04/20,43,166
15/04/20,44,128
16/04/20,45,98
17/04/20,46,88
18/04/20,47,81
19/04/20,48,102
20/04/20,49,90
21/04/20,50,112
22/04/20,51,144
23/04/20,52,147
24/04/20,53,172
25/04/20,54,173
26/04/20,55,112
27/04/20,56,111
28/04/20,57,124
29/04/20,58,158
30/04/20,59,143
01/05/20,60,105
02/05/20,61,149
03/05/20,62,103
04/05/20,63,104
05/05/20,64,134
06/05/20,65,188
07/05/20,66,163
08/05/20,67,240
09/05/20,68,165
10/05/20,69,258
11/05/20,70,244
12/05/20,71,285
13/05/20,72,316
14/05/20,73,255
15/05/20,74,345
16/05/20,75,327
17/05/20,76,263
18/05/20,77,303
19/05/20,78,438
20/05/20,79,474
21/05/20,80,648
22/05/20,81,718
23/05/20,82,704
24/05/20,83,723
25/05/20,84,552
26/05/20,85,600
27/05/20,86,706
28/05/20,87,769
29/05/20,88,717
30/05/20,89,795
31/05/20,90,637
